Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Latitude,Longitude
Caguas,Puerto Rico,XXXXXXXXX,Shelley,12786,Clarke,XXXXXXXXX,Consumer,PR,1799 Cinder Estates,725,18.28612137,-66.03705597
Corona,EE. UU.,XXXXXXXXX,Walter,5744,Smith,XXXXXXXXX,Corporate,NY,6306 Broad Rise Acres,11368,40.74015808,-73.84850311
El Paso,EE. UU.,XXXXXXXXX,Mary,3633,Burch,XXXXXXXXX,Consumer,TX,2406 Broad Embers Parade,79924,31.89463425,-106.4120712
Mount Pleasant,EE. UU.,XXXXXXXXX,Mary,11289,Wang,XXXXXXXXX,Home Office,MI,8990 Iron Sky Link,48858,43.61513138,-84.60793304
New York,EE. UU.,XXXXXXXXX,Robert,1489,Smith,XXXXXXXXX,Consumer,NY,9437 Middle Beacon Place,10003,40.73124313,-73.98880768
Norfolk,EE. UU.,XXXXXXXXX,Mechelle,16742,Lowe,XXXXXXXXX,Consumer,VA,9650 Foggy Nectar Heath,23503,36.94937897,-76.24703217
Normal,EE. UU.,XXXXXXXXX,Mary,9847,Smith,XXXXXXXXX,Consumer,IL,4819 Crystal Private,61761,40.50857925,-88.98264313
Philadelphia,EE. UU.,XXXXXXXXX,Mary,1199,Smith,XXXXXXXXX,Consumer,PA,3668 Golden Rise Round,19120,39.95633316,-75.19544983
Saint Paul,EE. UU.,XXXXXXXXX,Ryan,10801,Larson,XXXXXXXXX,Consumer,MN,5385 Old Hills Expressway,55124,44.7267189,-93.17449951
Tampa,EE. UU.,XXXXXXXXX,Melissa,4588,Rosario,XXXXXXXXX,Consumer,FL,5578 Rocky Butterfly Canyon,33624,28.10211754,-82.51211548
Van Nuys,EE. UU.,XXXXXXXXX,Mary,8421,Smith,XXXXXXXXX,Consumer,CA,1393 Umber Sky Estates,91406,34.18439102,-118.4465179
Virginia Beach,EE. UU.,XXXXXXXXX,Sharon,2223,Hoffman,XXXXXXXXX,Consumer,VA,690 Quaking By-pass,23452,36.83838272,-76.11729431
Wilmington,EE. UU.,XXXXXXXXX,Bo,12974,Ewing,XXXXXXXXX,Corporate,CA,1847 Middle Bluff Link,90744,33.77769089,-118.274025
Amarillo,EE. UU.,XXXXXXXXX,Austin,126,Smith,XXXXXXXXX,Home Office,TX,852 Hazy Gate Circuit,79109,35.18864822,-101.8707352
Aurora,EE. UU.,XXXXXXXXX,Nichole,20449,Vasquez,XXXXXXXXX,Corporate,IL,3775 Quaking Inlet,60505,41.82056046,-88.22026825
Caguas,Puerto Rico,XXXXXXXXX,Brian,8490,Cantu,XXXXXXXXX,Corporate,PR,4210 Dewy Round,725,18.23937225,-66.37062073
Caguas,Puerto Rico,XXXXXXXXX,Mary,138,Dawson,XXXXXXXXX,Consumer,PR,9544 Noble Spring Route,725,18.22758102,-66.04357147
Caguas,Puerto Rico,XXXXXXXXX,Mary,2496,Smith,XXXXXXXXX,Consumer,PR,7962 Wishing Fox Harbour,725,18.26349449,-66.37060547
Caguas,Puerto Rico,XXXXXXXXX,Mary,5950,Smith,XXXXXXXXX,Consumer,PR,2901 Sunny Cloud Line,725,18.25572205,-66.3705368
Caguas,Puerto Rico,XXXXXXXXX,Mary,10041,Smith,XXXXXXXXX,Home Office,PR,8544 Silent Treasure Thicket,725,18.21171761,-66.37052918
Chicago,EE. UU.,XXXXXXXXX,Mary,10523,Rose,XXXXXXXXX,Consumer,IL,4472 Dewy Campus,60634,41.939991,-87.78713989
Findlay,EE. UU.,XXXXXXXXX,Clio,18517,Boyer,XXXXXXXXX,Consumer,OH,3152 Lazy Close,45840,41.06343079,-83.60743713
Hialeah,EE. UU.,XXXXXXXXX,David,1915,Smith,XXXXXXXXX,Consumer,FL,8267 Silent Lagoon Front,33016,25.87724495,-80.33294678
Los Angeles,EE. UU.,XXXXXXXXX,Audrey,12615,Preston,XXXXXXXXX,Home Office,CA,8916 Round Zephyr Ridge,90033,34.04983521,-118.2127457
Mechanicsburg,EE. UU.,XXXXXXXXX,Mary,8995,Smith,XXXXXXXXX,Corporate,PA,8279 Bright Fox Highway,17055,40.21145248,-77.0072937
Moreno Valley,EE. UU.,XXXXXXXXX,Martha,20265,Burt,XXXXXXXXX,Consumer,CA,2720 Stony Field,92557,33.94562149,-117.2952881
Union City,EE. UU.,XXXXXXXXX,Jerry,10627,Smith,XXXXXXXXX,Home Office,NJ,3378 Old Drive,7087,40.7615242,-74.03826904
Caguas,Puerto Rico,XXXXXXXXX,Dennis,8095,Smith,XXXXXXXXX,Corporate,PR,2442 Tawny Loop,725,18.23007774,-66.37055206
Caguas,Puerto Rico,XXXXXXXXX,Joseph,655,Dougherty,XXXXXXXXX,Corporate,PR,3050 Silent Cape,725,18.2275734,-66.04371643
Caguas,Puerto Rico,XXXXXXXXX,Lenore,14175,Lindsay,XXXXXXXXX,Home Office,PR,5105 Middle Bay,725,18.29094505,-66.03704834
Caguas,Puerto Rico,XXXXXXXXX,Mary,8409,Fernandez,XXXXXXXXX,Corporate,PR,6030 Harvest Knoll,725,18.25324249,-66.37062073
Caguas,Puerto Rico,XXXXXXXXX,Mary,11759,Bright,XXXXXXXXX,Consumer,PR,1467 Hazy Hills By-pass,725,18.26799583,-66.37055206
Caguas,Puerto Rico,XXXXXXXXX,Robert,11076,Leonard,XXXXXXXXX,Corporate,PR,6784 Quaking Spring Extension,725,18.24647522,-66.37056732
Chicago,EE. UU.,XXXXXXXXX,Barbara,12309,Pena,XXXXXXXXX,Consumer,IL,9414 Fallen Hickory Wood,60610,41.90405655,-87.63127899
Costa Mesa,EE. UU.,XXXXXXXXX,Jaden,17859,Franks,XXXXXXXXX,Corporate,CA,7119 Umber View Mountain,92626,33.67670822,-117.9219055
Honolulu,EE. UU.,XXXXXXXXX,Howard,8690,Smith,XXXXXXXXX,Corporate,HI,3068 Grand Brook Drive,96817,21.33753395,-157.8377686
Houston,EE. UU.,XXXXXXXXX,Amena,20240,Pickett,XXXXXXXXX,Home Office,TX,2499 Clear Dell,77081,29.71290207,-95.48719025
Lake Forest,EE. UU.,XXXXXXXXX,Victoria,2891,Pitts,XXXXXXXXX,Corporate,CA,8414 Velvet Island Ramp,92630,38.55315399,-121.395546
Los Angeles,EE. UU.,XXXXXXXXX,Moana,18750,Solis,XXXXXXXXX,Corporate,CA,9236 Little Pony Wharf,90065,34.11491013,-118.2400131
Milpitas,EE. UU.,XXXXXXXXX,Tasha,17648,Massey,XXXXXXXXX,Corporate,CA,4166 Iron Pioneer Byway,95035,37.43395615,-121.8810654
Montebello,EE. UU.,XXXXXXXXX,Mary,11998,Wong,XXXXXXXXX,Consumer,CA,4135 Iron Shadow Link,90640,34.00405884,-118.1138687
Pacoima,EE. UU.,XXXXXXXXX,Bobby,10997,Mann,XXXXXXXXX,Corporate,CA,1663 Hidden Brook Island,91331,34.26102829,-118.4290619
Philadelphia,EE. UU.,XXXXXXXXX,Carol,9377,Leach,XXXXXXXXX,Corporate,PA,826 High Butterfly Hollow,19140,40.00958252,-75.15264893
Saint Charles,EE. UU.,XXXXXXXXX,Mary,8875,Lawrence,XXXXXXXXX,Corporate,MO,2287 Thunder Pony Nook,63301,38.79648972,-90.49681091
Saint Paul,EE. UU.,XXXXXXXXX,McKenzie,16667,Pruitt,XXXXXXXXX,Consumer,MN,720 Harvest Harbour,55106,44.95905304,-93.07167816
Zanesville,EE. UU.,XXXXXXXXX,Mary,6817,Garrett,XXXXXXXXX,Consumer,OH,6324 Jagged Orchard,43701,39.94148636,-82.00222015
Caguas,Puerto Rico,XXXXXXXXX,Emily,8091,Powell,XXXXXXXXX,Consumer,PR,6121 Fallen Trace,725,18.24099159,-66.3706131
Caguas,Puerto Rico,XXXXXXXXX,Mary,11390,Williams,XXXXXXXXX,Corporate,PR,4286 Misty Swale,725,18.28600693,-66.37049866
Caguas,Puerto Rico,XXXXXXXXX,Pandora,15647,Weaver,XXXXXXXXX,Consumer,PR,5652 Thunder Crossing,725,18.28626823,-66.03705597
Caguas,Puerto Rico,XXXXXXXXX,Stephen,9668,Beasley,XXXXXXXXX,Home Office,PR,8906 Cotton Alley,725,18.28202248,-66.37051392
Caguas,Puerto Rico,XXXXXXXXX,Susan,8926,Smith,XXXXXXXXX,Consumer,PR,3488 Grand River Townline,725,18.22094345,-66.37058258
Canovanas,Puerto Rico,XXXXXXXXX,Austin,5906,Anderson,XXXXXXXXX,Consumer,PR,3360 Umber Bend,729,18.3957901,-65.87288666
Chicago,EE. UU.,XXXXXXXXX,Faith,14845,Duran,XXXXXXXXX,Home Office,IL,1380 Cinder Campus,60615,41.79980087,-87.58843994
Duluth,EE. UU.,XXXXXXXXX,Anastasia,17711,Lowe,XXXXXXXXX,Consumer,GA,3582 Bright Pine Estates,30096,33.99422836,-84.16246796
Elmhurst,EE. UU.,XXXXXXXXX,Ronald,2189,Smith,XXXXXXXXX,Corporate,IL,7016 Grand Link,60126,39.75626755,-89.69435883
Fullerton,EE. UU.,XXXXXXXXX,Alexander,3604,Martin,XXXXXXXXX,Home Office,CA,4491 Silver Via,92833,33.86329651,-117.9716263
Houston,EE. UU.,XXXXXXXXX,Helen,3135,Ward,XXXXXXXXX,Consumer,TX,1513 Merry Heath,77093,29.77199745,-95.37243652
Levittown,EE. UU.,XXXXXXXXX,Vivien,15362,Church,XXXXXXXXX,Consumer,NY,182 Hazy Village,11756,40.72494888,-73.52056122
New York,EE. UU.,XXXXXXXXX,Amy,3855,Smith,XXXXXXXXX,Consumer,NY,6502 Red Point,10023,40.77587891,-73.98165894
Powder Springs,EE. UU.,XXXXXXXXX,Lilah,16671,Bond,XXXXXXXXX,Corporate,GA,9699 Honey Rise,30127,33.86013031,-84.68437958
Riverside,EE. UU.,XXXXXXXXX,Michael,11977,Williams,XXXXXXXXX,Corporate,CA,4849 Clear Blossom Turnabout,92504,33.96971512,-117.3822708
San Diego,EE. UU.,XXXXXXXXX,Alan,6657,Gilbert,XXXXXXXXX,Consumer,CA,6887 Rustic Shadow Via,92104,32.75012589,-117.1374207
San Francisco,EE. UU.,XXXXXXXXX,Lani,18498,Coleman,XXXXXXXXX,Corporate,CA,8414 Dewy Lagoon Abbey,94110,37.75743866,-122.4193726
San Jose,EE. UU.,XXXXXXXXX,Tyler,4855,Key,XXXXXXXXX,Consumer,CA,1507 Dewy Quail Wharf,95123,37.25323105,-121.8241806
Seattle,EE. UU.,XXXXXXXXX,Richard,1971,Stokes,XXXXXXXXX,Corporate,WA,2865 Blue Rise Way,98115,47.67869949,-122.3217621
Tallahassee,EE. UU.,XXXXXXXXX,Blythe,17810,Bartlett,XXXXXXXXX,Consumer,FL,5340 Quaking Panda Forest,32308,30.49506187,-84.24580383
Virginia Beach,EE. UU.,XXXXXXXXX,Rosalyn,18374,Snider,XXXXXXXXX,Consumer,VA,3247 Bright Spring Corner,23455,36.91083145,-76.12958527
West Chester,EE. UU.,XXXXXXXXX,William,10407,Clay,XXXXXXXXX,Corporate,PA,8470 Amber Street,19382,39.96744919,-75.58142853
West Lafayette,EE. UU.,XXXXXXXXX,Yoshi,15879,Wagner,XXXXXXXXX,Consumer,IN,8249 Cotton Wood,47906,40.4454422,-87.05867004
Wyoming,EE. UU.,XXXXXXXXX,Jerry,10921,Sherman,XXXXXXXXX,Consumer,MI,2963 Indian Elk Pathway,49509,42.90983582,-85.68525696
Caguas,Puerto Rico,XXXXXXXXX,Carol,1582,Merritt,XXXXXXXXX,Consumer,PR,8663 Crystal Bluff Walk,725,18.2872467,-66.37062073
Caguas,Puerto Rico,XXXXXXXXX,Florence,16574,Ramos,XXXXXXXXX,Home Office,PR,7797 Rustic Shadow Abbey,725,18.28431511,-66.0370636
Caguas,Puerto Rico,XXXXXXXXX,Justin,6996,Spence,XXXXXXXXX,Consumer,PR,6734 Iron Panda Lookout,725,18.27760506,-66.37052918
Caguas,Puerto Rico,XXXXXXXXX,Kyla,19613,Stafford,XXXXXXXXX,Home Office,PR,8963 Hidden Panda Meadow,725,18.29839706,-66.03705597
Caguas,Puerto Rico,XXXXXXXXX,Larry,6167,Ryan,XXXXXXXXX,Consumer,PR,632 Colonial Treasure Line,725,18.20740318,-66.37059021
Caguas,Puerto Rico,XXXXXXXXX,Mary,2479,Miller,XXXXXXXXX,Corporate,PR,9126 Wishing Expressway,725,18.25821114,-66.37059021
Caguas,Puerto Rico,XXXXXXXXX,Olivia,2279,Burns,XXXXXXXXX,Home Office,PR,1966 Clear Isle,725,18.21671867,-66.37050629
Caguas,Puerto Rico,XXXXXXXXX,Thomas,11869,Smith,XXXXXXXXX,Corporate,PR,3983 Wishing Path,725,18.26691246,-66.37051392
Chicago,EE. UU.,XXXXXXXXX,Wayne,5451,Torres,XXXXXXXXX,Home Office,IL,5782 Dewy Ridge,60632,41.89483643,-87.76984406
Greeley,EE. UU.,XXXXXXXXX,Mary,10083,Cooper,XXXXXXXXX,Consumer,CO,1846 Clear Bear Falls,80631,40.39059448,-104.7084274
Guayama,Puerto Rico,XXXXXXXXX,Morgan,16996,Whitney,XXXXXXXXX,Consumer,PR,2636 Indian Expressway,784,17.98249054,-66.1126709
Howell,EE. UU.,XXXXXXXXX,Dorothy,13577,Atkinson,XXXXXXXXX,Consumer,MI,8839 Quiet Leaf Range,48843,42.60770416,-83.93352509
Los Angeles,EE. UU.,XXXXXXXXX,Xyla,19219,Becker,XXXXXXXXX,Consumer,CA,3902 Rustic Valley,90044,33.97929382,-118.289093
Mililani,EE. UU.,XXXXXXXXX,Paula,13200,Garrett,XXXXXXXXX,Corporate,HI,2137 Rustic Dale Crest,96789,21.4479599,-158.016037
Milwaukee,EE. UU.,XXXXXXXXX,Sarah,17510,Butler,XXXXXXXXX,Consumer,WI,6214 Little Wharf,53209,43.05049896,-87.98997498
Morganton,EE. UU.,XXXXXXXXX,Raymond,7724,Smith,XXXXXXXXX,Consumer,NC,3428 Hidden Moor,28655,35.83547974,-81.63233185
North Hollywood,EE. UU.,XXXXXXXXX,Piper,12696,Bean,XXXXXXXXX,Consumer,CA,7000 Rocky Pond End,91605,34.16981888,-118.3789902
Philadelphia,EE. UU.,XXXXXXXXX,Fiona,18712,Mcneil,XXXXXXXXX,Home Office,PA,406 Shady Cider Corner,19131,40.0032196,-75.20815277
Portland,EE. UU.,XXXXXXXXX,Remedios,19801,Hall,XXXXXXXXX,Home Office,OR,6026 Stony Elk Hill,97206,45.45874023,-122.5946426
Tonawanda,EE. UU.,XXXXXXXXX,Sydnee,17877,Petersen,XXXXXXXXX,Consumer,NY,473 Harvest Row,14150,43.01396942,-78.87906647
Vacaville,EE. UU.,XXXXXXXXX,Kevin,8234,Smith,XXXXXXXXX,Consumer,CA,5809 Foggy Treasure Grounds,95687,38.34882355,-121.9724197
West New York,EE. UU.,XXXXXXXXX,Kevin,5104,Raymond,XXXXXXXXX,Corporate,NJ,7790 Green Berry Gate,7093,40.78874207,-74.00895691
Asheboro,EE. UU.,XXXXXXXXX,Katelyn,12887,Rowland,XXXXXXXXX,Corporate,NC,9843 Grand Circle,27203,35.70111466,-79.82025147
Bountiful,EE. UU.,XXXXXXXXX,Mary,5547,Perry,XXXXXXXXX,Corporate,UT,3782 Shady Oak Point,84010,40.84789658,-111.8727264
Brighton,EE. UU.,XXXXXXXXX,Kathy,4411,Smith,XXXXXXXXX,Corporate,MA,2607 Clear Branch Cape,2135,42.34962845,-71.15328217
Bronx,EE. UU.,XXXXXXXXX,Jillian,20508,Britt,XXXXXXXXX,Home Office,NY,5407 Hazy Hills Point,10473,40.81995392,-73.86433411
Caguas,Puerto Rico,XXXXXXXXX,Cally,20656,Fuller,XXXXXXXXX,Consumer,PR,5002 Easy Island Carrefour,725,18.28285217,-66.0370636
Chicago,EE. UU.,XXXXXXXXX,Iona,14121,Curtis,XXXXXXXXX,Consumer,IL,4381 Silver Manor,60618,41.89518356,-87.73563385
Elk Grove,EE. UU.,XXXXXXXXX,Astra,14618,Hurley,XXXXXXXXX,Corporate,CA,2476 Wishing Branch Ledge,95758,38.40867996,-121.4790573
Harlingen,EE. UU.,XXXXXXXXX,Michael,5658,Wiley,XXXXXXXXX,Consumer,TX,7678 Lazy Farms,78550,26.19086266,-97.69604492
Honolulu,EE. UU.,XXXXXXXXX,Fallon,17862,Terrell,XXXXXXXXX,Consumer,HI,2484 High Embers Pines,96822,21.30562019,-157.8386993
Irvington,EE. UU.,XXXXXXXXX,Amy,20420,Skinner,XXXXXXXXX,Consumer,NJ,8615 Amber Spring Link,7111,40.73097992,-74.22322846
Longview,EE. UU.,XXXXXXXXX,Shannon,13172,Hodges,XXXXXXXXX,Consumer,WA,8055 Fallen Parkway,98632,46.18856049,-123.102623
Los Angeles,EE. UU.,XXXXXXXXX,Daryl,15964,Montgomery,XXXXXXXXX,Consumer,CA,7312 Crystal Willow Villas,90023,34.20339966,-118.6059036
Los Angeles,EE. UU.,XXXXXXXXX,Mary,1211,Greer,XXXXXXXXX,Consumer,CA,4645 Fallen Timber By-pass,90016,34.03234482,-118.3598175
Modesto,EE. UU.,XXXXXXXXX,Katell,16170,Shannon,XXXXXXXXX,Consumer,CA,2078 Cozy Brook Village,95350,37.68267441,-121.0301971
Orlando,EE. UU.,XXXXXXXXX,Emily,12055,Richardson,XXXXXXXXX,Corporate,FL,5995 Shady Anchor Canyon,32825,28.55625916,-81.27587128
West New York,EE. UU.,XXXXXXXXX,Tallulah,17267,Wilder,XXXXXXXXX,Consumer,NJ,2861 Velvet Pointe,7093,40.78874207,-74.00895691
Annapolis,EE. UU.,XXXXXXXXX,Mary,6356,Smith,XXXXXXXXX,Consumer,MD,9667 Cinder Bend,21401,38.97784042,-76.49318695
Bakersfield,EE. UU.,XXXXXXXXX,Denise,19377,Young,XXXXXXXXX,Consumer,CA,2027 Thunder Creek Thicket,93304,35.36254501,-119.0186996
Bowling Green,EE. UU.,XXXXXXXXX,Jose,12351,Deleon,XXXXXXXXX,Corporate,KY,6528 Round Private,42101,37.1289444,-86.29595184
Caguas,Puerto Rico,XXXXXXXXX,Adrienne,14687,Jennings,XXXXXXXXX,Consumer,PR,3741 Bright Extension,725,18.27192688,-66.0370636
Caguas,Puerto Rico,XXXXXXXXX,Barbara,12119,Pham,XXXXXXXXX,Consumer,PR,135 Burning Ridge,725,18.2150116,-66.37063599
Caguas,Puerto Rico,XXXXXXXXX,Bethany,16460,Faulkner,XXXXXXXXX,Consumer,PR,8944 Red Place,725,18.22441101,-66.03704834
Caguas,Puerto Rico,XXXXXXXXX,Freya,19518,Vega,XXXXXXXXX,Consumer,PR,7808 Merry Canyon,725,18.2381382,-66.03705597
Caguas,Puerto Rico,XXXXXXXXX,James,2126,Pollard,XXXXXXXXX,Consumer,PR,5336 Sleepy Sky Common,725,18.2057991,-66.37052918
Caguas,Puerto Rico,XXXXXXXXX,Mary,1970,Smith,XXXXXXXXX,Corporate,PR,363 Green Goose Run,725,18.26211548,-66.37057495
Gilroy,EE. UU.,XXXXXXXXX,Albert,2714,Mayer,XXXXXXXXX,Consumer,CA,5744 Cinder Square,95020,37.00493622,-121.6690903
Hickory,EE. UU.,XXXXXXXXX,Billy,6628,Johnson,XXXXXXXXX,Home Office,NC,8906 Silver Link,28601,35.82358933,-81.30722046
Huntington Beach,EE. UU.,XXXXXXXXX,Mary,3658,Weiss,XXXXXXXXX,Consumer,CA,6007 Wishing Common,92646,33.66059876,-117.978447
Jackson Heights,EE. UU.,XXXXXXXXX,Mary,10315,Smith,XXXXXXXXX,Consumer,NY,4074 Burning River Corners,11372,42.23886108,-75.92342377
Mesa,EE. UU.,XXXXXXXXX,Lisa,2904,Walton,XXXXXXXXX,Home Office,AZ,1221 Easy Corners,85201,33.43722153,-111.8398285
Newark,EE. UU.,XXXXXXXXX,Jolene,17839,Hood,XXXXXXXXX,Corporate,DE,1875 Golden Trail,19702,39.68188095,-75.64421082
San Diego,EE. UU.,XXXXXXXXX,Judy,12424,Phillips,XXXXXXXXX,Consumer,CA,4534 Cinder Concession,92111,32.7794342,-117.1718597
Weslaco,EE. UU.,XXXXXXXXX,Kenneth,10037,Price,XXXXXXXXX,Corporate,TX,1108 Lost Campus,78596,26.14579964,-97.95825195
Winnetka,EE. UU.,XXXXXXXXX,Frances,3980,Smith,XXXXXXXXX,Consumer,CA,9890 Pleasant Highway,91306,34.20909119,-118.5710068
Anaheim,EE. UU.,XXXXXXXXX,Debra,4265,Smith,XXXXXXXXX,Home Office,CA,5768 Gentle Nectar Chase,92805,33.83805847,-117.9110107
Asheboro,EE. UU.,XXXXXXXXX,Diana,10708,Smith,XXXXXXXXX,Consumer,NC,7430 Clear Beacon Vista,27203,35.70111466,-79.82025147
Bronx,EE. UU.,XXXXXXXXX,September,14098,Leonard,XXXXXXXXX,Corporate,NY,7449 Tawny Glen,10460,40.84042358,-73.87844849
